Constituency_No,District,Constituency_Name,DMK Coalition Candidate name,Party,Gender,Total Assets,Liabilities,Criminal Cases,Education,Age
157,Cuddalore,BHUVANAGIRI,Durai Saravanan,DMK,M,102938068,10053236,7,Post Graduate,54
158,Cuddalore,CHIDAMBARAM,A.S. Abdul Raguman Rabbani,IUML,M,8508919,0,0,9th Std,42
159,Cuddalore,KATTUMANNARKOIL,Sinthanai Selvan,VCK,M,9562905,0,1,Diploma,55
160,Mayiladuthurai,SIRKALI,M. Panneerselvam,DMK,M,20890000,4023572,11,Post Graduate,66
161,Mayiladuthurai,MAYILADUTHURAI,S. Rajkumar,INC,M,97782454,2620888,2,Post Graduate,52
162,Mayiladuthurai,POOMPUHAR,Nivetha M. Murugan,DMK,M,82596432,30132596,8,12th Std,55
163,Nagapattinam,NAGAPATTINAM,Aloor Shanavas,VCK,M,2785391,0,1,12th Std,39
164,Nagapattinam,KILVELUR,Nagai Mali,CPM,M,1938171,1221050,0,Graduate,65
165,Nagapattinam,VEDARANYAM,S.K. Vedarathinam,DMK,M,13548087,0,3,10th Std,62
166,Thiruvarur,THIRUTHURAIPUNDI,Marimuthu,CPI,M,330460,0,3,10th Std,50
167,Thiruvarur,MANNARGUDI,T.R.B. Raja,DMK,M,4447004836,134876928,2,Post Graduate,44
168,Thiruvarur,THIRUVARUR,Poondi K. Kalaivanan,DMK,M,30830905,949023,49,12th Std,56
169,Thiruvarur,NANNILAM,S. Jothiraman,DMK,M,21198391,2762581,12,Graduate,57
170,Thanjavur,THIRUVIDAMARUDUR,K.V. Chezhian,DMK,M,5928190,343444,4,Doctorate,54
171,Thanjavur,KUMBAKONAM,K. Anbalagan,DMK,M,417302510,102995783,6,10th Std,72
172,Thanjavur,PAPANASAM,M.H. Jawahirullah,MNMK,M,27569227,0,1,Post Graduate,61
173,Thanjavur,THIRUVAIYARU,Durai Chandrasekaran,DMK,M,27092369,1266609,10,Graduate Professional,61
174,Thanjavur,Thanjavur,T.K.G. Neelamegam,DMK,M,6120503,0,5,10th Fail,57
175,Thanjavur,ORATHANAD,M. Ramachandran,DMK,M,56033224,0,2,Graduate Professional,76
176,Thanjavur,PATTUKKOTTAI,K. Annadurai,DMK,M,18232530,1156283,6,Graduate Professional,63
177,Thanjavur,PERAVURANI,N. Ashok Kumar,DMK,M,61020192,22326617,0,10th Std,63
178,Pudukottai,GANDHARVAKOTTAI,M. Chinnadurai,CPM,M,473200,0,0,10th Fail,58
179,Pudukottai,VIRALIMALAI,M. Palaniappan,DMK,M,95702900,13422808,12,Graduate,54
180,Pudukottai,PUDUKKOTTAI,Dr. Muthuraja,DMK,M,91218510,44492826,0,Doctor,44
181,Pudukottai,THIRUMAYAM,S. Raghupathi,DMK,M,153261761,0,26,Graduate Professional,70
182,Pudukottai,ALANGUDI,S.V.V. Meyyanathan,DMK,M,13459578,1252001,6,Post Graduate,52
183,Pudukottai,ARANTANGI,S.T. Ramachandran,INC,M,14251126,3411744,0,Graduate,40
184,Sivaganga,KARAIKUDI,S. Mangudi,INC,M,53888151,30610231,9,Graduate,58
185,Sivaganga,TIRUPPATTUR,K.R. Periyakaruppan,DMK,M,87031084,8291004,18,Graduate,62
186,Sivaganga,SIVAGANGA,S. Gunasekaran,CPI,M,52370691,0,30,10th Std,65
187,Sivaganga,MANAMADURAI,A. Tamilarasi,DMK,F,22370577,4682670,8,Graduate,44
188,Madurai,MELUR,T. Ravichandran,INC,M,24905562,6900000,0,Graduate,66
189,Madurai,MADURAI EAST,P. Moorthy,DMK,M,113569676,37936176,3,12th Std,62
190,Madurai,SHOLAVANDAN,E. Venkatesan,DMK,M,16361245,8535500,0,Graduate,45
191,Madurai,MADURAI NORTH,Ko. Thalapathi,DMK,M,135925170,0,12,10th Std,65
192,Madurai,MADURAI SOUTH,Bhoominathan,MDMK,M,70007388,8523000,2,Not Given,61
193,Madurai,MADURAI CENTRAL,Palanivel Thiagarajan,DMK,M,388953333,0,3,Doctorate,55
194,Madurai,MADURAI WEST,C. Chinnammal,DMK,F,121486956,2233290,2,8th Std,66
195,Madurai,THIRUPARANKUNDRAM,S.K. Ponnuthai,CPM,F,1479490,361960,0,12th Std,47
196,Madurai,THIRUMANGALAM,M. Manimaran,DMK,M,13303990,1646000,1,7th Std,46
197,Madurai,USILAMPATTI,P.V. Kathiravan,AIFB,M,16305782,0,7,Graduate Professional,67
198,Theni,ANDIPATTI,A. Maharajan,DMK,M,155530084,9431977,4,8th Std,67
199,Theni,PERIYAKULAM,K.S. Saravanakumar,DMK,M,23285964,11406024,4,Graduate,49
200,Theni,BODINAYAKANUR,Thanga Tamil Selvan,DMK,M,35073556,9068722,39,Post Graduate,60
201,Theni,CUMBUM,Kambam Ramakrishnan,DMK,M,73891559,100236,7,Post Graduate,72
202,Virudhunagar,RAJAPALAYAM,S. Thangapandian,DMK,M,182465294,73988547,16,6th Std,52
203,Virudhunagar,SRIVILLIPUTHUR,P.S.W. Madhava Rao,INC,M,41291193,2729199,0,Post Graduate,63
204,Virudhunagar,SATTUR,Dr. A.R.R. Ragu Raman,MDMK,M,18516721,6620746,0,Doctor,49
205,Virudhunagar,SIVAKASI,A.M.S.G. Ashokan,INC,M,494669749,317600439,3,Graduate,62
206,Virudhunagar,VIRUDHUNAGAR,A.R.R. Srinivasan,DMK,M,9629516,232896,3,12th Std,64
207,Virudhunagar,ARUPPUKOTTAI,K.K.S.S.R. Ramachandran,DMK,M,42708308,13602557,9,10th Fail,71
208,Virudhunagar,TIRUCHULI,Thangam Thennarasu,DMK,M,118761869,38474678,7,Graduate,54
209,Ramanathapuram,PARAMAKUDI,S. Murugesan,DMK,M,18040921,20527786,0,5th Std,54
210,Ramanathapuram,TIRUVADANAI,R.M. Karumanickam,INC,M,1142500,0,0,7th Std,65
211,Ramanathapuram,RAMANATHAPURAM,K. Katharbatcha Muthuramalingam,DMK,M,10260895,1425590,5,12th Std,49
212,Ramanathapuram,MUDUKULATHUR,R.S. Raja Kannapan,DMK,M,8253994,0,0,Graduate Professional,72
213,Thoothukudi,VILATHIKULAM,G.V. Markandeyan,DMK,M,62295991,12705831,5,Graduate Professional,44
214,Thoothukudi,THOOTHUKKUDI,P. Geetha Jeevan,DMK,F,98276021,13936663,15,Post Graduate,50
215,Thoothukudi,TIRUCHENDUR,Anitha R. Radhakrishnan,DMK,M,52870846,0,16,10th Std,68
216,Thoothukudi,SRIVAIKUNTAM,Urvasi S. Amirtharaj,INC,M,692572391,39752000,0,Post Graduate,37
217,Thoothukudi,OTTAPIDARAM,C. Shanmugayya,DMK,M,14258275,1395208,10,Graduate Professional,50
218,Thoothukudi,KOVILPATTI,K. Srinivasan,CPM,M,5915502,0,2,10th Std,57
219,Tenkasi,SANKARANKOVIL,E. Raja,DMK,M,63156370,3863652,3,Post Graduate,35
220,Tenkasi,VASUDEVANALLUR,Dr. Sadhan Thirumalaikumar,MDMK,M,83285025,49036712,1,Doctor,68
221,Tenkasi,KADAYANALLUR,K.A.M. Mohammed Abubakar,IUML,M,19963771,0,8,12th Std,49
222,Tenkasi,TENKASI,S. Palani Nadar,INC,M,161249279,112529002,4,7th Std,68
223,Tenkasi,ALANGULAM,Dr. Poongothai Aladi Aruna,DMK,F,147136306,1800000,9,Doctor,56
224,Tirunelveli,TIRUNELVELI,A.L.S. Lakshmanan,DMK,M,24639117,219594,0,12th Std,55
225,Tirunelveli,AMBASAMUDRAM,R. Avudaiyappan,DMK,M,27880000,0,8,Graduate Professional,76
226,Tirunelveli,PALAYAMCOTTAI,M. Abdul Wahab,DMK,M,22718035,2027802,26,12th Std,54
227,Tirunelveli,NANGUNERI,Ruby R. Manoharan,INC,M,1006300787,122896461,1,10th Std,61
228,Tirunelveli,RADHAPURAM,M. Appavu,DMK,M,21925570,4761150,7,Graduate,69
229,Kanniyakumari,KANNIYAKUMARI,S. Austin,DMK,M,10242398,1700150,10,Post Graduate,62
230,Kanniyakumari,NAGERCOIL,N. Suresh Rajan,DMK,M,44232539,4736178,12,Graduate,58
231,Kanniyakumari,COLACHEL,J.G. Prince,INC,M,6872054,0,73,Post Graduate,64
232,Kanniyakumari,PADMANABHAPURAM,T. Mano Thangaraj,DMK,M,2339870,809103,29,Post Graduate,53
233,Kanniyakumari,VILAVANCODE,S. Vijayadharani,INC,F,91153377,21900000,8,Graduate Professional,51
234,Kanniyakumari,KILLIYOOR,S. Rajesh Kumar,INC,M,21017747,2485000,52,Graduate Professional,46
