Constituency_No,District,Constituency_Name,ADMK Coalition Candidate name,Party,Gender,Education,Age,Criminal Cases,Total Assets,Liabilities
208,Virudhunagar,TIRUCHULI,Rajasekar,AIMMK,M,8th Std,65,7,30990684,2494400
18,Chennai,HARBOUR,Vinoj P. Selvam,BJP,M,Graduate,34,0,131657207,47407142
20,Chennai,THOUSAND LIGHTS,Khushboo,BJP,F,8th Std,50,4,412021115,40069889
56,Krishnagiri,THALLI,Nageshwar Kumar C,BJP,M,Doctor,35,0,10099000,2241672
63,Tiruvannamalai,TIRUVANNAMALAI,Thanigavelu,BJP,M,12th Std,46,6,162241554,162692300
76,Kallakurichi,TIRUKKOYILUR,Kalivarathan,BJP,M,10th Std,56,1,14045355,4709740
100,Erode,MODAKURICHI,Dr. C.K. Saraswathi,BJP,F,Doctor,76,0,118779515,6290790
101,Tiruppur,DHARAPURAM,Dr. L. Murugan,BJP,M,Doctorate,43,21,26760215,0
108,Nilgiris,UDHAGAMANDALAM,M. Bhojarajan ,BJP,M,Graduate,74,0,126205332,361000
120,Coimbatore,COIMBATORE (SOUTH),Vanathi Srinivasan,BJP,F,Post Graduate Professional,50,2,94134507,5930415
134,Karur,Aravakurichi,K. Annamalai,BJP,M,Post Graduate,36,10,29087197,2500000
151,Cuddalore,TITTAKUDI,D. Periyasamy,BJP,M,Diploma,58,2,1924222,270000
173,Thanjavur,THIRUVAIYARU,Poondi S. Venkatesan,BJP,M,10th Std,58,8,84083000,34675660
184,Sivaganga,KARAIKUDI,H. Raja,BJP,M,Graduate,63,4,35542760,6736195
191,Madurai,MADURAI NORTH,Dr. P. Saravanan,BJP,M,Doctor,51,6,150487962,31911077
206,Virudhunagar,VIRUDHUNAGAR,G. Pandurangan,BJP,M,10th Std,37,0,63599627,21390513
211,Ramanathapuram,RAMANATHAPURAM,D. Kuppuramu,BJP,M,Graduate Professional,64,1,18726040,0
224,Tirunelveli,TIRUNELVELI,Nainar Nagendran,BJP,M,Post Graduate,60,1,26777282,45745502
230,Kanniyakumari,NAGERCOIL,M.R. Gandhi,BJP,M,Graduate,76,0,5065676,0
231,Kanniyakumari,COLACHEL,P. Ramesh,BJP,M,Post Graduate,54,8,5095385,632000
233,Kanniyakumari,VILAVANCODE,R. Jayaseelan,BJP,M,Post Graduate,56,2,8206468,100000
171,Thanjavur,KUMBAKONAM,Sridhar Vandayar,MMK,M,Post Graduate,65,6,529272213,10471128
45,Vellore,KILVAITHINANKUPPAM,M. Jaganmoorthy,PBK,M,12th Std,54,2,13351510,4067260
193,Madurai,MADURAI CENTRAL,Jothi Muthuramalingam,PDK,M,Graduate,54,0,3596264,0
1,Thiruvallur,GUMMIDIPUNDI,M. Prakash,PMK,M,10th Std,50,1,184881559,27675000
5,Thiruvallur,POONAMALLEE,S. X. Rajamannar,PMK,M,Graduate Professional,63,0,81202602,8569169
19,Chennai,CHEPAUK-THIRUVALLIKENI,A. V. A. Kassali,PMK,M,7th Std,61,0,6640572,113036
33,Chengalpattu,THIRUPORUR,Thirukachur Arumugam,PMK,M,Graduate,60,3,101218060,6185000
37,Kanchipuram,KANCHEEPURAM,P. Maheshkumar,PMK,M,Graduate,41,0,7350000,3000000
39,Ranipet,SHOLINGHUR,A. M. Krishnan,PMK,M,10th Fail,48,0,46352254,25063162
42,Ranipet,ARCOT,K. L. Elavazhagan,PMK,M,10th Std,52,0,11018544,6077087
50,Tirupattur,TIRUPPATTUR,T. K. Raja,PMK,M,10th Std,55,0,542653,138000
58,Dharmapuri,PENNAGARAM,G.K. Mani,PMK,M,10th Std,69,8,73232525,0
59,Dharmapuri,DHARMAPURI,S. P. Venkateswaran,PMK,M,Graduate,54,4,4247461,2610500
64,Tiruvannamalai,KILPENNATHUR,Selvakumar,PMK,M,Post Graduate,44,1,2977630,200000
69,Tiruvannamalai,VANDAVASI,S. Murali Shankar,PMK,M,Graduate,31,0,17330000,5850000
70,Villupuram,GINGEE,M. P. S. Rajendran,PMK,M,12th Std,62,2,3627100,0
71,Villupuram,MAILAM,C. Sivakumar,PMK,M,9th Std,47,0,7724725,12332500
79,Kallakurichi,SANKARAPURAM,Dr. Raja,PMK,M,Doctor,34,0,13381037,9100000
85,Salem,METTUR,S. Sathasivam,PMK,M,Post Graduate,54,2,27812072,6631052
88,Salem,SALEM (WEST),R. Arul,PMK,M,Graduate,49,7,54304970,11867948
129,Dindigul,ATHOOR,M. Thilagabama,PMK,F,Graduate,50,1,51840570,8075052
150,Ariyalur,JAYANKONDAM,K. Balu,PMK,M,Graduate,50,0,65044938,16612865
152,Cuddalore,VRIDDHACHALAM,J. Karthikeyan,PMK,M,Post Graduate,35,0,13832939,3520000
153,Cuddalore,NEYVELI,K. Jagan,PMK,M,12th Std,47,2,88157000,24820000
161,Mayiladuthurai,MAYILADUTHURAI,Sithamalli A. Palanisami,PMK,M,Graduate,45,1,5850000,2100000
164,Nagapattinam,KILVELUR,Vadivel Ravanan,PMK,M,10th Std,69,0,1665000,0
185,Sivaganga,TIRUPPATTUR,M Alaguraja,ADMK,M,12th Std,52,0,35080655,10272228
12,Chennai,PERAMBUR,N.R.Dhanapalan,PTMK,M,Post Graduate,69,2,343100405,12144833
15,Chennai,THIRU-VI-KA-NAGAR,P.L. Kalyani,TMC,F,10th Std,55,0,7066341,0
98,Erode,ERODE (EAST),M. Yuvaraja,TMC,M,Graduate,40,1,36268646,12065001
143,Tiruchirappalli,LALGUDI,D.R. Dharmaraj,TMC,M,Post Graduate,57,0,34717034,2168579
176,Thanjavur,PATTUKKOTTAI,N.R. Rangarajan,TMC,M,10th Std,57,0,109568879,19611467
214,Thoothukudi,THOOTHUKKUDI,S.D.R. Vijayaseelan,TMC,M,12th Std,48,0,578891033,21039624
234,Kanniyakumari,KILLIYOOR,K.V. Jude Dev,TMC,M,Graduate,40,5,24565000,1900000
16,Chennai,EGMORE,John Pandian,TMMK,M,Post Graduate,65,2,117386865,1018469
